Country,Year,id,GDP per capita (constant 2015 US$),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",GDP per capita (current US$),Trade (% of GDP),Political Stability and Absence of Violence/Terrorism: Estimate,"Government expenditure on education, total (% of GDP)",Individuals using the Internet (% of population),"Population, total",Taxes on international trade (% of revenue),Taxes on international trade (current LCU),Real interest rate (%),"Foreign direct investment, net inflows (BoP, current US$)",fdi_bop_per_capita
Brazil,1990,1,6086.077553,0.2140916085,0.1439544182,3065.242357,15.15560302,,,0,150706446,,,,,
Brazil,1991,1,6043.432634,0.2707826029,0.2489334174,2656.497207,16.59207776,,,0.003288171,153336445,,,,,
Brazil,1992,1,5911.687023,0.5276627765,0.03507510935,2505.377758,19.25337479,,,0.012946262,155900790,,,,,
Brazil,1993,1,6103.377215,0.2947737772,0.1120231614,2766.345596,19.59932055,,,0.025498253,158440875,,,,,
Brazil,1994,1,6358.678787,0.5624007117,0.1898468548,3393.142926,18.6747598,,,0.037672709,160980472,,,,,
Brazil,1995,1,6524.518853,0.6315860204,0.1798960799,4704.959837,16.98446,,4.568160057,0.105138168,163515328,,,,4.86E+09,2.97E+01
Brazil,1996,1,6567.352461,1.475965411,0.1040654389,5121.905407,15.63559148,-0.2204601318,,0.450789179,166037122,,,,1.26E+10,7.59E+01
Brazil,1997,1,6689.199377,2.150453059,0.1263084459,5240.127176,16.57620926,,,0.786079155,168546707,,,65.40884498,1.90E+10,1.13E+02
Brazil,1998,1,6613.983181,3.340888093,0.3304361986,5049.764669,16.43858493,-0.3395057917,4.756659985,1.477874959,171039804,,,77.61683799,2.89E+10,1.69E+02
Brazil,1999,1,6551.226671,4.733770227,0.2497586792,3456.423303,20.98216648,,3.800620079,2.038732184,173486281,,,67.06091709,2.84E+10,1.64E+02
Brazil,2000,1,6745.857771,5.033916805,0.3809707431,3726.811669,22.63976136,0.1841016263,3.948930025,2.870685159,175873720,,,48.5047282,3.30E+10,1.88E+02
Brazil,2001,1,6749.881603,4.147593774,-0.2659172353,3142.23514,26.93628502,,3.844680071,4.528494869,178211881,,,45.63781871,2.32E+10,1.30E+02
Brazil,2002,1,6868.695907,3.253580613,0.4861763393,2824.715413,27.6183574,0.3278002739,3.750370026,9.149425086,180476685,,,48.34043745,1.66E+10,9.20E+01
Brazil,2003,1,6865.17325,1.813400524,0.04098444456,3056.649798,28.14038472,0.004213934299,,13.2075861,182629278,,,46.44739884,1.01E+10,5.53E+01
Brazil,2004,1,7178.347485,2.713531663,1.467598865,3623.224462,29.67825248,-0.2759928107,3.974479914,19.07367227,184722043,,,43.77915272,1.82E+10,9.85E+01
Brazil,2005,1,7325.90355,1.733893546,0.3264109928,4773.268551,27.08679521,-0.2633797526,4.4790802,21.02274725,186797334,,,44.63516886,1.55E+10,8.30E+01
Brazil,2006,1,7534.5425,1.753125703,2.600007093,5866.023414,26.04169989,-0.2949111164,4.870600224,28.17838018,188820682,,,41.24032645,1.94E+10,1.03E+02
Brazil,2007,1,7909.825247,3.190826013,1.221177746,7323.191594,25.29261137,-0.3579480946,4.974259853,30.88,190779453,,,35.02251547,4.46E+10,2.34E+02
Brazil,2008,1,8231.100373,2.990609469,1.539949533,8801.757876,27.25756942,-0.3134247065,5.268839836,33.83,192672317,,,35.3667578,5.07E+10,2.63E+02
Brazil,2009,1,8142.761048,1.888482241,-0.2730584178,8569.902547,22.1059756,0.1636642218,5.463550091,39.22,194517549,,,34.79200963,3.15E+10,1.62E+02
Brazil,2010,1,8673.898383,3.730012883,1.211633161,11249.29189,22.77217811,0.01347591076,5.648799896,40.65,196353492,1.870635328,21082992105,29.11580552,8.24E+10,4.20E+02
Brazil,2011,1,8935.277314,3.915180114,0.6141497545,13200.55623,23.93440518,-0.1325754225,5.737410069,45.69,198185302,2.092015425,26653026354,32.83345951,1.02E+11,5.15E+02
Brazil,2012,1,9025.313996,3.754962856,0.08450596932,12327.5131,25.11427361,0.04596164078,5.855100155,48.56,199977707,2.178378134,31128936153,26.58209053,9.26E+10,4.63E+02
Brazil,2013,1,9216.13228,3.041509016,0.6326180895,12258.56571,25.78595733,-0.2585532963,5.838850021,51.04,201721767,2.420073773,36978393835,18.49884442,5977.183,0.00002963082809
Brazil,2014,1,9183.459727,3.57135267,0.8390263429,12071.40446,24.68540582,-0.07029013336,5.948480129,54.55100188,203459650,2.324025114,36773041650,22.40367244,6056.034,0.0000297652827
Brazil,2015,1,8783.215424,3.592149318,0.1738961215,8783.215424,26.95362594,-0.3318644464,6.24105978,58.32795173,205188205,2.221220293,38969359133,33.83234397,6180.119,0.00003011927026
Brazil,2016,1,8426.843221,4.137378039,0.8182622514,8680.736469,24.53368208,-0.3810350597,6.314040184,60.87254007,206859578,1.690043356,31447614282,40.69836145,6337.58,0.00003063711171
Brazil,2017,1,8470.940604,3.338259817,1.034182606,9896.718895,24.31973437,-0.480093956,6.32047987,67.47128452,208504960,1.764287619,32350158856,41.71380787,6400.038,0.0000306948957
Brazil,2018,1,8553.865902,4.077486681,0.1056149936,9121.020995,28.87620337,-0.4596401453,6.088510036,70.43428254,210166592,2.032255896,40704096042,33.10233425,6530.423,0.00003107260263
Brazil,2019,1,8592.211207,3.692673213,1.218157699,8845.324149,28.89025787,-0.7143936157,5.963469982,73.91243991,211782878,1.992125234,42932793020,31.90307275,6550.448,0.00003093001692
Belize,1990,2,4112.335135,3.151993725,0.3298598084,2988.60482,79.53876329,,,0,182589,48.82085954,108747000,-15.54644284,,0
Belize,1991,2,4501.236626,2.28580765,0.2437074249,3190.868365,79.39550656,,,0,186462,49.79335653,112891000,17.11903314,,0
Belize,1992,2,4972.206393,2.249053338,0.3171741887,3644.922823,80.57669792,,,0,190299,46.61727749,117607000,10.54711353,,0
Belize,1993,2,5171.997426,1.226635976,0.2733264879,3862.552029,75.96509534,,,0,194177,48.8049189,123270000,12.25937252,,0
Belize,1994,2,5060.49018,1.996947937,0.001299292714,3878.968982,81.11296565,,,0,198416,48.80779497,130739000,11.82518452,,0
Belize,1995,2,4968.793189,2.578103618,0.3097398537,4011.140031,77.53554094,,,0.04539718,203556,52.60231666,137281000,9.852234461,2.11E+07,1.03E+02
Belize,1996,2,4873.270304,1.954715498,0.6678807777,4042.152482,79.7740948,0.5591521263,,0.882807327,209840,29.17145569,84517000,13.18905292,1.66E+07,7.90E+01
Belize,1997,2,4909.383085,1.372779171,0.4478326029,4011.022238,85.65236622,,,1.288582302,217117,32.01698328,94939000,18.06268027,1.20E+07,5.51E+01
Belize,1998,2,4923.842544,1.904914532,0.4856722603,4119.706172,85.51353359,0.5966299772,,2.091516391,224907,30.80762109,98829000,13.76062975,1.77E+07,7.85E+01
Belize,1999,2,5206.651843,5.885356535,0.5108302694,4283.477069,93.5850282,,4.103380203,4.076740564,232733,30.29618531,106359000,18.25001055,5.87E+07,2.52E+02
Belize,2000,2,5657.456684,2.605373499,0.5484778506,4720.168218,96.88969989,0.1842207164,3.778970003,5.963835303,240406,32.08238655,116341000,14.38744973,2.96E+07,1.23E+02
Belize,2001,2,5755.757007,5.2370023,0.001020093711,4708.294937,93.47481649,,4.322100163,,248100,36.3708745,138413000,17.75643266,6.12E+07,2.47E+02
Belize,2002,2,5879.604207,2.053222128,0.006004325808,4844.228574,93.36863061,0.4179925621,,5.684251214,255987,39.6383559,164957000,14.01337381,2.55E+07,9.95E+01
Belize,2003,2,6252.220718,-0.8381853455,0.02746949664,4937.089905,94.71776019,0.4860820472,3.938060045,,263998,36.71924699,164507000,19.30454241,-1.10E+07,-4.17E+01
Belize,2004,2,6355.399593,7.996718515,0.004607702678,5123.596214,86.75263903,0.4015619159,4.043340206,9.8,272128,36.29099306,170674000,11.60592932,1.11E+08,4.08E+02
Belize,2005,2,6305.35056,8.644131422,0.06681829595,5236.365426,93.38684209,0.1049117446,,17,280375,28.62998104,157935000,10.91404379,1.27E+08,4.53E+02
Belize,2006,2,6399.145911,6.869589663,0.03608381307,5486.831434,99.27153769,0.08197703958,,24,288729,27.53370786,170902000,10.61704866,1.09E+08,3.78E+02
Belize,2007,2,6422.304327,8.261096753,0.05802199114,5717.92962,96.34949688,0.1949215829,,24.6,297173,23.1206822,169076000,10.10943806,1.40E+08,4.71E+02
Belize,2008,2,6147.690927,9.796543505,0.1592306157,5665.966232,105.8596287,0.1900719851,4.328110218,26.3,305671,20.50122402,154259000,10.2622897,1.70E+08,5.56E+02
Belize,2009,2,5954.405582,6.472899884,0.02743132625,5352.095987,89.92927337,0.02843020484,4.828690052,27.2,314171,23.39125135,165411000,16.9748059,1.09E+08,3.47E+02
Belize,2010,2,5879.733301,5.546059716,0.0644641745,5399.062096,95.39914617,0.07042768598,5.267479897,28.2,322106,20.86007724,161544000,11.47691866,9.64E+07,2.99E+02
